"date","event","description","entity","category","source_file","source_indices","document_sources"
"1908","Publication of ""Mechanical Jurisprudence""","Pound's classic article condemning the ""mechanical jurisprudence"" of conceptualism in law, which he viewed as a technical degeneration of scientific jurisprudence.","Roscoe Pound","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1912","Publication of ""The Scope and Purpose of Sociological Jurisprudence""","Influential article advocating for a sociological approach to law, emphasizing the practical operation of legal rules over abstract content.","Roscoe Pound","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1918","Publication of diatribe against German legal philosophy","John M. Zane's attack on German legal thinkers, asserting a dedication to conceptualism and the idea that courts only apply pre-existing rules.","John M. Zane","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1921","Publication of ""The Nature of the Judicial Process""","Cardozo's seminal work emphasizing that law is in a constant process of becoming, rejecting legal nihilism and rigid conceptualism.","Benjamin Cardozo","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1930","Announcement of the need for greater realism in jurisprudence","Pound's student Karl Llewellyn announced the time had come for greater realism in sociological jurisprudence, marking a shift toward American Legal Realism.","Karl Llewellyn","Corporate Announcement","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1931","Publication of ""The Call for a Realist Jurisprudence""","Pound's response and interpretation of the new realist movement in legal thought.","Roscoe Pound","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1934","Publication of ""American Legal Realism""","Lon Fuller coined the name ""American Legal Realism"" to distinguish the movement from Continental versions.","Lon Fuller","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1942","Judgment in Betts v. Brady","Held that the federal Constitution did not guarantee counsel in state felony cases unless special circumstances existed.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1954","Judgment in Brown v. Board of Education","The Supreme Court overruled Plessy v. Ferguson in the field of public education, declaring separate educational facilities inherently unequal.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1957-04","Delivery of Oliver Wendell Holmes Lecture","Hart addressed an American audience at Harvard, proposing a compromise between conceptualism and skepticism (core vs. penumbra).","H.L.A. Hart","Corporate Announcement","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1962","Judgment in Robinson v. California","Held that imprisoning a narcotics addict for the status of being an addict constituted cruel and unusual punishment.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1963","Judgment in Gideon v. Wainwright","The Supreme Court overruled Betts v. Brady, establishing the right to appointed counsel for all felons.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1964","Judgment in Myers v. Director of Public Prosecutions","A prime example of modern English formalism where the court refused to admit car manufacturer records as evidence due to strict hearsay rules.","House of Lords","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1968","Judgment in Powell v. Texas","The Court refused to extend the Robinson ruling to public drunkenness, limiting the ""status"" crime paradigm.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1972","Lon L. Fuller responds to Robert C.L. Moffat's manuscript","Lon L. Fuller encouraged the basic ideas advanced in Moffat's article regarding the interaction between morality and law.","Lon L. Fuller","Corporate Announcement","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1972-06","Judgment in Furman v. Georgia","A landmark decision that appeared to end capital punishment in the U.S. by imposing rigorous procedural requirements.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1976","Judgment in Gregg v. Georgia","The Court endorsed modified state statutes, effectively reinstating the death penalty and truncating the Furman paradigm.","Supreme Court of the United States","Financial Milestone","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1985-03","Publication of Florida Law Review Volume 37 Issue 2","Publication containing Robert C.L. Moffat's article ""Judicial Decision as Paradigm.""","University of Florida College of Law","Publication","Tech Events","1","Judicial Decision as Paradigm: Case Studies of Morality and Law in Interaction"
"1994-01-01","Publication of 'In Over Our Heads'","Robert Kegan publishes the foundational book describing the evolution of consciousness and mental demands, forming the theoretical basis for the framework.","","Pipeline Development","Pipeline Timeline 1","1","In Over Our Heads: The Mental Demands of Modern Life [Paperback ed.] 0674445880, 9780674445888 - DOKUMEN.PUB"
"1997-01-01","Legislative Regulation of Research Fellowship","Research Fellowships in Italy are initially regulated by art. 51 of L. 449/97 as temporary research positions.","","Pipeline Development","Pipeline Timeline 1","2","Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
"1998-01-01","Kegan Paperback Release & Trento Regulation","Release of the paperback edition of Kegan's work 1 and issuance of DR894 by the University of Trento to discipline research fellowships 2.","","Pipeline Development","Pipeline Timeline 1","1, 2","In Over Our Heads: The Mental Demands of Modern Life [Paperback ed.] 0674445880, 9780674445888 - DOKUMEN.PUB; Constructing excellence: the gap between formal and actual selection criteria for early career academics - Radboud Repository"
