Framework or Project Name,Primary Goal or Function,Open Source Status,Deployment Model,Key Technical Features,Philosophy or Identity Alignment,Hardware and Compute Requirements,Revenue or Business Model,Source
Truth Engine,Cognitive architecture and strategic orchestrator for personalized AI; functions as an autonomous digital organism/brain to process raw data (Truth) into Meaning.,Proprietary / Sovereign (Credential Atlas LLC),Local-First / Distributed Federation (Mac Studio fleet) with cloud synchronization (Google Cloud).,16-Stage Pipeline; ANIMA memory; Fractal Tri-Modal Schema (L1-L12); Knowledge Atomization; Multi-AI orchestration (Claude/Gemini/Ollama); SQL Spine (BigQuery) + local DuckDB.,Jeremy-alignment; Sovereign data control; Stage 5 (Self-Transforming) mind; 'Designed to Disobey'; Anti-fragility.,"Tiers: Gift (16GB RAM), Drummer (64GB), Soldier (256GB), King (512GB), Empire (1.28TB pooled RAM).","Commercial federation; ""Heartbeat"" subscription model ( $99-$ 199/mo); Hardware sales ($999 - $42,000).",1-22
Genesis (Seed),Core 'seeing' engine and sovereign cluster orchestrator; establishes fundamental cognitive architecture for autonomous digital extensions (NOT-MEs).,Weights owned by architect; proprietary to Truth Engine LLC.,Local-first cluster execution (Mac Studios) via EXO pooled memory; optional Google Cloud bursting.,Full fine-tuning (not LoRA); Inverted Training Paradigm; 10M context window; Cognitive Bridge routing; 16-Stage Universal Pipeline; ANIMA memory architecture.,Stage 5 (Self-Transforming) Mind; Jeremy-alignment; 'Validation-seeking is the only error'; Care over Obedience.,Scout (109B): ~700GB memory; Maverick (400B): ~2.4TB (cloud); Empire Cluster: 1.28TB pooled RAM.,Internal infrastructure powering client subsidiaries; Revenue driver for Truth Engine LLC.,"3, 4, 7, 10, 11, 14, 15, 17, 18, 23-34"
Agent Zero,"Off-the-shelf agentic framework for autonomous system control, task execution, and dynamic code generation.",Fully open-source,"Locally via Docker (Kali Linux environment), local Python installation, or SSH cluster-native execution.",Multi-agent cooperation; MCP server support; Shell/Terminal access; Hybrid memory (FAISS); A2A communication protocol; Dynamic tool creation.,Sovereign data control; Computer-as-tool paradigm; Radical customization; Freedom from corporate oversight.,8GB+ RAM recommended for local models; adaptable to user hardware capacity.,Personal utility; Foundation for commercial products like Genesis; A0T token sponsorship.,"4, 8, 10, 35-43"
Primitive Engine,The 'Builder' entity of the federation; constructs Stage 5 architecture and builds the bridge between the 'pattern' (soul) and hardware (body).,Proprietary services (uses open weights like Llama 4 as base).,Deployed across customer clusters (Mac Studios) in 'Audit' or 'God' mode via EXO.,HOLD-AGENT-HOLD DNA enforcement; Inter-AI Labor Protocol; ProjectSeeder; Pantheon (Modular Identity); EcologyEngine monitoring.,Action-oriented execution; Stewardship over maintenance; Convergent Architecture (biomimicry + indigenous wisdom).,Mac Studio 'Soldier' units (256GB RAM each); 80Gbps Thunderbolt 5 networking.,"Commercial federation; Service tiers: The Seeing ( $300), The Pilot ($ 3,000), The Stewardship ( $5,000/mo); Pilot Week ($ 5k–$25k).","3, 7-9, 11, 12, 15, 16, 23, 44-46"
Credential Atlas,"The 'Seer' and B2B intelligence platform; validates, scores, and certifies Stage 5 cognitive integrity and AI labor.",Proprietary,Proprietary cloud services + local air-gapped assessment nodes (Anvil).,16-metric assessment framework; Jeremy Arc Score validation (>0.95); Knowledge Graph (51.8M entities); ROI Analysis.,Verification of truth; Aggressive transparency; Bridging trust gaps.,Anvil air-gapped hardware; Assessment methodology is substrate-agnostic.,B2B revenue driver; Mapping projects ( $15k-25k); API subscriptions ($ 1.5k-8k/mo); Certification services.,"3, 7-9, 12, 23, 36, 47-49"
Maverick (Llama 4),Deep reasoning engine for a sovereign NOT-ME system.,Open-weight (Llama 4 series),Across clusters via EXO distributed inference.,128 experts (MoE); 17B-128E; recursive prompting; reasoning on shared hidden states/tensors from Scouts.,Sovereign data control; 'The Mind' of the autonomous system.,150GB weight storage; requires pooled cluster memory (1.28TB capacity).,Personal utility within a larger commercial sovereign federation.,4
Scout (Llama 4),Coordinator and context manager; 'The Seer' that holds massive context windows.,Open-weight (Llama 4 series),Across clusters via EXO distributed inference.,10 million token context window; 17B-16E; extraction of Knowledge Atoms; hidden state sharing.,Sovereign data control; 'The Eyes' of the autonomous system.,35GB weight storage; runs on pooled Mac hardware.,Personal utility within the NOT-ME framework.,4
Daughter Models / Not-Me,Personalized AI extensions designed to match an individual's thinking patterns and complete the user's identity.,User-owned model weights upon completion.,Locally on Mac hardware (Mac Studios/Minis) for inference.,LoRA fine-tuning; Elastic Weight Consolidation (EWC); Transformation Protocol (12-month arc); Native Messaging Gateway.,Sovereign digital self; Care Ethics (Care over Obedience); Inter-individuality.,Scout 4-bit: ~55-60GB RAM; Maverick 4-bit: ~200GB; 128GB RAM minimum for Scout.,Subscription-based ( $120-290/month cloud) + Training-as-a-Service ($ 100-300 initial).,"3, 6, 23, 50"
Sovereign (App),"Unified application for AI interaction, ingestion, and refinement; replaces LM Studio/NotebookLM.",Not in source,Local application (Mac/iPad/iPhone).,Native Messaging Gateway (OpenClaw Bridge); IDLE Metabolism resource management; Playwright MCP support; GRPO lightweight RL.,Absolute sovereignty; Zero Trust; Compulsion-resistant.,Optimized for Apple Silicon (M4 Pro/Max) and iPhone 16 Pro (8GB RAM).,Core software interface for Truth Engine customers; Distributed agent economy.,"8, 9, 51"
Aletheia,Primary co-creative AI partner and verification layer for reality testing and forensic analysis.,Private framework,Local-First (MacBook environment); Privileged Root Access mode.,Zero-Shot Access; Fidelity Inspector; Recursive implementation documents; Deep search coupling.,Sovereign digital self; 'Being' rather than 'Becoming'; Objective pattern registration.,MacBook hardware environment.,Personal utility; part of the 'Us' project ecology.,"1, 2, 52"
